train_loss,val_loss,train_i2t_acc,train_t2i_acc,val_i2t_acc,val_t2i_acc,I2T_R@1,I2T_R@5,I2T_R@10,T2I_R@1,T2I_R@5,T2I_R@10,logit_scale,lr
0.7711882134347843,0.5365224805745211,1.056184668989547,0.6533101045296167,3.077651515151515,3.0066287878787876,11.142857142857142,11.142857142857142,11.142857142857142,0.0,0.0,25.0,2.598839282989502,1.4000000000000001e-06
0.6392795300234485,0.4733526110649109,1.524390243902439,0.9472996515679443,3.2196969696969693,3.0066287878787876,12.571428571428571,12.571428571428571,12.571428571428571,25.0,25.0,25.0,2.5915586948394775,2.3e-06
0.41627319385573425,0.24268435415896503,2.656794425087108,1.3501742160278745,3.148674242424242,3.148674242424242,39.642857142857146,39.642857142857146,39.642857142857146,50.0,50.0,50.0,2.824864387512207,3.2e-06
0.1820831626965194,0.15090948343276978,3.8000871080139373,4.213850174216028,3.2196969696969693,3.290719696969697,39.785714285714285,39.785714285714285,39.785714285714285,75.0,100.0,100.0,3.2339870929718018,4.1e-06
0.12995626086868892,0.16028187423944473,8.427700348432056,9.440331010452962,3.290719696969697,3.361742424242424,63.285714285714285,63.285714285714285,63.285714285714285,75.0,75.0,100.0,3.399625062942505,5e-06
0.12338475563696452,0.1637784909795631,9.309668989547038,10.779616724738675,3.290719696969697,3.361742424242424,71.92857142857143,71.92857142857143,71.92857142857143,75.0,100.0,100.0,3.505943775177002,4.990137020288337e-06
0.12066145259432676,0.1718107908964157,9.277003484320558,10.899390243902438,3.290719696969697,3.361742424242424,76.28571428571429,76.28571428571429,76.28571428571429,75.0,100.0,100.0,3.584385395050049,4.9606274920666435e-06
0.1191546183066501,0.1752051328393546,9.603658536585366,11.182491289198607,3.361742424242424,3.361742424242424,77.14285714285714,77.14285714285714,77.14285714285714,75.0,100.0,100.0,3.639707088470459,4.911709008704841e-06
0.11760476841639975,0.17680406739765947,9.614547038327526,10.997386759581882,3.290719696969697,3.361742424242424,78.14285714285714,78.14285714285714,78.14285714285714,100.0,100.0,100.0,3.6824100017547607,4.843775433067357e-06
0.11678522337189119,0.18186439235102048,10.060975609756097,11.541811846689896,3.290719696969697,3.361742424242424,79.14285714285714,79.14285714285714,79.14285714285714,75.0,100.0,100.0,3.7045726776123047,4.757373726360928e-06
0.11633442061911062,0.1825099414722486,9.625435540069686,11.487369337979095,3.361742424242424,3.361742424242424,78.92857142857143,78.92857142857143,78.92857142857143,100.0,100.0,100.0,3.714855432510376,4.653199544324573e-06
0.11543549386985626,0.1815703734755516,9.79965156794425,11.541811846689896,3.361742424242424,3.361742424242424,79.64285714285714,79.64285714285714,79.64285714285714,75.0,100.0,100.0,3.7391855716705322,4.532091636218622e-06
0.1151235565698936,0.1882783333686265,10.071864111498257,11.26959930313589,3.361742424242424,3.361742424242424,79.14285714285714,79.14285714285714,79.14285714285714,75.0,100.0,100.0,3.7405693531036377,4.395025091708848e-06
0.11464357134668669,0.18226305530829864,10.039198606271777,11.628919860627178,3.361742424242424,3.361742424242424,80.14285714285714,80.14285714285714,80.14285714285714,75.0,100.0,100.0,3.74613094329834,4.24310349001782e-06
0.11442272172987669,0.1814818446609107,9.919425087108014,11.628919860627178,3.361742424242424,3.361742424242424,80.42857142857143,80.42857142857143,80.42857142857143,100.0,100.0,100.0,3.7467031478881836,4.0775500145538984e-06
0.11376472840325758,0.1744638898155906,9.897648083623693,11.454703832752614,3.361742424242424,3.361742424242424,79.78571428571429,79.78571428571429,79.78571428571429,100.0,100.0,100.0,3.7483770847320557,3.899697604557652e-06
0.11397988076617079,0.18208995833992958,10.409407665505226,11.454703832752614,3.361742424242424,3.361742424242424,80.14285714285714,80.14285714285714,80.14285714285714,100.0,100.0,100.0,3.746720790863037,3.7109782230588476e-06
0.1136914886767856,0.17625008963725783,10.19163763066202,11.106271777003485,3.290719696969697,3.361742424242424,81.14285714285714,81.14285714285714,81.14285714285714,100.0,100.0,100.0,3.7501983642578125,3.512911327552114e-06
0.11348603533431628,0.18389492820609699,10.616289198606271,11.792247386759582,3.290719696969697,3.361742424242424,80.64285714285714,80.64285714285714,80.64285714285714,100.0,100.0,100.0,3.7530694007873535,3.307091636218622e-06
0.1134885831213579,0.1729981591078368,10.463850174216027,11.432926829268293,3.361742424242424,3.361742424242424,80.92857142857143,80.92857142857143,80.92857142857143,100.0,100.0,100.0,3.7502634525299072,3.095176288192971e-06
0.11334623375628468,0.17848623645576564,10.235191637630662,11.389372822299652,3.361742424242424,3.361742424242424,80.64285714285714,80.64285714285714,80.64285714285714,100.0,100.0,100.0,3.749199390411377,2.878871501253257e-06
0.11319037620302692,0.17426578869873827,9.984756097560975,12.12979094076655,3.361742424242424,3.361742424242424,80.71428571428571,80.71428571428571,80.71428571428571,100.0,100.0,100.0,3.747957706451416,2.6599188343587626e-06
0.11292211667274349,0.17248432778499342,9.821428571428571,11.890243902439025,3.361742424242424,3.361742424242424,81.0,81.0,81.0,75.0,100.0,100.0,3.7596194744110107,2.4400811656412394e-06
0.11323643395294296,0.17947263541546735,10.300522648083623,11.890243902439025,3.361742424242424,3.361742424242424,81.21428571428571,81.21428571428571,81.21428571428571,75.0,100.0,100.0,3.749450922012329,2.221128498746745e-06
0.11237656174532627,0.17972974106669426,10.017421602787456,11.31315331010453,3.361742424242424,3.361742424242424,80.71428571428571,80.71428571428571,80.71428571428571,75.0,100.0,100.0,3.7548024654388428,2.0048237118070305e-06
0.11281495943717425,0.17343307455832307,10.19163763066202,11.68336236933798,3.361742424242424,3.361742424242424,81.21428571428571,81.21428571428571,81.21428571428571,75.0,100.0,100.0,3.751389265060425,1.7929083637813796e-06
