train_loss,train_acc,val_loss,val_acc,val_f1,lr
1.669892290778782,34.20652173913044,1.4674898430027745,43.464285714285715,0.40693965281199074,0.00019999999999999998
1.5340464231242303,40.83695652173913,1.3931700377301737,48.785714285714285,0.43748940402206504,0.00034999999999999994
1.3949730400417162,48.04347826086956,1.4217552664605053,51.07142857142857,0.47193193502332903,0.0005
1.370113409291143,49.766304347826086,1.3205692950974812,51.5,0.45189628559208916,0.0004983129702566148
1.3348492176636406,50.31521739130435,1.2513151422820308,55.0,0.5372437021699255,0.0004932746952096661
1.2963993673739227,53.09239130434783,1.2409418804401702,55.714285714285715,0.5203612409811715,0.0004849533088860843
1.2922823238372803,53.56521739130435,1.3190287243236194,49.785714285714285,0.44221388243300674,0.0004734613437606915
1.2739346821411797,54.55434782608695,1.2108555845916271,59.17857142857143,0.5857295861145309,0.0004589542089475278
1.2625373226663341,55.16847826086956,1.254391099241647,56.035714285714285,0.527623786964494,0.00044162808855818515
1.2521626786563707,56.35326086956522,1.2007813125171445,58.714285714285715,0.5574244859492367,0.0004217172886482492
1.2248741509603418,57.38586956521739,1.1979449763894081,58.964285714285715,0.5776500931770265,0.00039949106862984527
1.2251640168480251,57.94021739130435,1.1710836233740503,60.964285714285715,0.5948425474010762,0.0003752500000000001
1.2109486904351607,58.55978260869565,1.2296422320333393,58.107142857142854,0.5623055590241125,0.0003493219016267697
1.1938393825033438,59.69021739130435,1.1419645872983066,63.57142857142857,0.6309639625221047,0.0003220574065614171
1.1800006300470103,60.875,1.1228466138921,65.07142857142857,0.6455768357083833,0.00029382522032789926
1.1665828507879505,61.44565217391305,1.15065369179303,63.357142857142854,0.6270661874987002,0.0002650071348131638
1.15324227809906,62.39673913043478,1.1234290853820064,64.46428571428571,0.6366789972206626,0.00023599286518683637
1.1334213425802149,63.52717391304348,1.1013960113579577,65.82142857142857,0.6506268855704644,0.00020717477967210102
1.1254678246249323,63.869565217391305,1.1056367887014693,65.67857142857143,0.6521912241739118,0.00017894259343858305
1.1120377719920616,65.22282608695652,1.0934637012806805,65.60714285714286,0.6502698087905141,0.0001516780983732304
1.0901178397303042,66.79891304347827,1.0710290345278652,68.28571428571429,0.6785502977640828,0.0001257500000000001
1.076044968833094,67.53260869565217,1.063162601468238,68.82142857142857,0.6851148820005863,0.00010150893137015494
1.0766928247783496,67.35326086956522,1.056045472283255,69.25,0.6878133135319464,7.928271135175103e-05
1.0603677936222242,68.39673913043478,1.0371105633676052,69.64285714285714,0.695254298501221,5.937191144181496e-05
1.055551032398058,68.55978260869566,1.0294052020392634,70.28571428571429,0.6986766550978611,4.2045791052472416e-05
1.0402706449964771,69.7554347826087,1.0218180685558103,69.78571428571429,0.6944589091494427,2.753865623930868e-05
1.03794922704282,69.9836956521739,1.0316393311050804,70.5,0.7003553607852364,1.604669111391588e-05
1.0294407788566922,70.46195652173913,1.01445970447226,71.21428571428571,0.7099976346844562,7.725304790333962e-06
1.0230211045431055,70.79347826086956,1.0134184533222155,70.85714285714286,0.7060466193368172,2.687029743385216e-06
1.0243824614649233,70.44565217391305,1.0102292109619488,71.57142857142857,0.7135607037145483,1e-06
