epoch,train_loss,macro_f1,f1_Fluid,f1_Geographicatrophy,f1_PRlayerdisruption,f1_SoftdrusenPED,f1_Reticulardrusen,f1_Hyperfluorescentspots,f1_Softdrusen,f1_Harddrusen,f1_Choroidalfolds
26,0.03582039885222912,0.5695,0.0,0.64,0.7234,0.5,0.3333,0.0,0.8594,0.8333,0.6667
27,0.03467433884739876,0.5535,0.0,0.64,0.6977,0.4444,0.3889,0.0,0.8167,0.8247,0.6154
28,0.0337058824300766,0.5451,0.0,0.6667,0.7234,0.3571,0.4211,0.0,0.7965,0.8627,0.5333
29,0.035149172842502595,0.538,0.0,0.6667,0.7442,0.5128,0.32,0.0,0.8226,0.8163,0.4211
30,0.033563388660550114,0.5683,0.0,0.64,0.7907,0.5,0.4286,0.0,0.8413,0.8125,0.5333
31,0.033185889050364493,0.5426,0.0,0.64,0.7,0.2857,0.4,0.0,0.8,0.8485,0.6667
32,0.035562689006328585,0.5719,0.0,0.64,0.75,0.4375,0.4,0.0,0.832,0.8491,0.6667
33,0.03163913898169994,0.5456,0.0,0.64,0.7273,0.4242,0.3571,0.0,0.8167,0.8283,0.5714
34,0.029491763189435007,0.5728,0.0,0.64,0.7556,0.4167,0.3448,0.0,0.7934,0.8317,0.8
35,0.029196715876460076,0.5871,0.0,0.64,0.75,0.4615,0.3846,0.0,0.832,0.8283,0.8
36,0.027492559626698495,0.5498,0.0,0.64,0.7692,0.4737,0.3846,0.0,0.7679,0.7917,0.5714
37,0.027341861128807068,0.5415,0.0,0.64,0.72,0.2759,0.4,0.0,0.7899,0.7789,0.7273
38,0.02674160525202751,0.593,0.0,0.6667,0.76,0.5,0.4167,0.0,0.8387,0.835,0.7273
39,0.02671404033899307,0.5535,0.0,0.64,0.7143,0.4615,0.3704,0.0,0.8504,0.82,0.5714
40,0.025523274838924408,0.5441,0.0,0.5833,0.7083,0.45,0.4242,0.0,0.8504,0.8367,0.5
41,0.024142975024878978,0.5472,0.0,0.6667,0.7234,0.4615,0.3333,0.0,0.8594,0.8,0.5333
42,0.025128754749894143,0.5592,0.0,0.64,0.7347,0.3226,0.4375,0.0,0.8197,0.7917,0.7273
43,0.026836593598127366,0.567,0.0,0.64,0.7556,0.375,0.3704,0.0,0.8197,0.8485,0.7273
44,0.023283276073634625,0.5536,0.0,0.6667,0.6531,0.4242,0.3846,0.0,0.8594,0.7742,0.6667
45,0.022336736246943475,0.5572,0.0,0.64,0.6957,0.3871,0.2963,0.0,0.8594,0.7789,0.8
46,0.02550590693950653,0.5258,0.0,0.6087,0.6512,0.4103,0.3125,0.0,0.8361,0.8544,0.5333
47,0.02293744873255491,0.5838,0.0,0.64,0.7059,0.4444,0.4516,0.0,0.8387,0.8627,0.7273
48,0.023122469410300255,0.5922,0.0,0.6667,0.766,0.5366,0.4,0.0,0.813,0.8283,0.7273
49,0.022581865601241587,0.6076,0.0,0.64,0.7778,0.5263,0.4167,0.0,0.8571,0.8431,0.8
50,0.020336080249398945,0.5914,0.0,0.64,0.8077,0.4242,0.3846,0.0,0.848,0.8269,0.8
51,0.02125403020530939,0.5742,0.0,0.6957,0.76,0.5556,0.32,0.0,0.7759,0.82,0.6667
52,0.020955301448702814,0.5484,0.0,0.6154,0.7273,0.4516,0.3333,0.0,0.848,0.7959,0.6154
53,0.017623818777501583,0.5801,0.0,0.6667,0.8,0.4737,0.3478,0.0,0.8,0.7527,0.8
54,0.01892654728144407,0.5732,0.0,0.6667,0.72,0.4082,0.4,0.0,0.832,0.8317,0.7273
55,0.01723125943914056,0.5596,0.0,0.64,0.8077,0.4324,0.381,0.0,0.7966,0.7527,0.6667
56,0.024075583666563035,0.5655,0.0,0.64,0.766,0.5263,0.1739,0.0,0.8226,0.8679,0.7273
57,0.019242474883794783,0.5922,0.0,0.64,0.7925,0.5263,0.4167,0.0,0.8571,0.8381,0.6667
58,0.01725733146071434,0.5523,0.0,0.6667,0.7692,0.5556,0.3333,0.0,0.7966,0.7253,0.5714
59,0.017610149942338466,0.5556,0.0,0.64,0.7843,0.5263,0.3571,0.0,0.8034,0.8,0.5333
60,0.01711473349481821,0.5681,0.0,0.6667,0.6957,0.4138,0.3448,0.0,0.7966,0.8269,0.8
61,0.01823131360113621,0.5555,0.0,0.64,0.7273,0.4706,0.3448,0.0,0.8293,0.8163,0.6154
62,0.01772002164274454,0.5709,0.0,0.6667,0.8,0.3077,0.3226,0.0,0.8387,0.8317,0.8
63,0.01931249625980854,0.5693,0.0,0.64,0.8077,0.4375,0.24,0.0,0.8413,0.7879,0.8
64,0.01718455955386162,0.5669,0.0,0.6087,0.7111,0.4545,0.4167,0.0,0.8594,0.7579,0.7273
65,0.017713295221328737,0.5438,0.0,0.6667,0.7273,0.3226,0.3846,0.0,0.8571,0.7253,0.6667
66,0.016041629202663898,0.5936,0.0,0.6667,0.7843,0.4878,0.3636,0.0,0.8504,0.7959,0.8
67,0.015124993864446878,0.5906,0.0,0.6667,0.7692,0.5405,0.2727,0.0,0.8594,0.8163,0.8
68,0.016826100517064332,0.5793,0.0,0.6667,0.7925,0.5,0.3333,0.0,0.8226,0.7921,0.7273
69,0.015886474661529065,0.5725,0.0,0.6667,0.7556,0.3871,0.4167,0.0,0.8594,0.8283,0.6667
70,0.015969775188714265,0.576,0.0,0.6667,0.766,0.5,0.3846,0.0,0.832,0.7921,0.6667
71,0.01275275245308876,0.5716,0.0,0.6364,0.7843,0.5263,0.3871,0.0,0.8594,0.8081,0.5714
72,0.01288956517353654,0.5867,0.0,0.6667,0.8571,0.5263,0.2609,0.0,0.8594,0.7961,0.7273
73,0.014117009192705154,0.543,0.0,0.6087,0.76,0.5,0.3571,0.0,0.8594,0.7253,0.5333
74,0.01429401384666562,0.5904,0.0,0.6667,0.7755,0.4571,0.3333,0.0,0.8226,0.7789,0.8889
75,0.01385324602946639,0.5427,0.0,0.6667,0.7347,0.4444,0.2857,0.0,0.8594,0.7789,0.5714
76,0.014166709873825312,0.563,0.0,0.6087,0.7755,0.5263,0.3478,0.0,0.813,0.766,0.6667
77,0.01334092702716589,0.5446,0.0,0.6667,0.8077,0.2857,0.3333,0.0,0.8769,0.7708,0.6154
78,0.012956190593540669,0.5735,0.0,0.6667,0.7451,0.4118,0.4,0.0,0.8594,0.8381,0.6667
79,0.013336493447422982,0.5587,0.0,0.6087,0.84,0.3226,0.32,0.0,0.8682,0.8431,0.6667
80,0.015025663524866104,0.5614,0.0,0.6667,0.75,0.5,0.25,0.0,0.7934,0.8041,0.7273
81,0.014326540157198905,0.5578,0.0,0.6667,0.7843,0.3448,0.4286,0.0,0.832,0.835,0.5714
82,0.01344174262136221,0.5577,0.0,0.64,0.7636,0.5714,0.3478,0.0,0.8594,0.835,0.4444
83,0.013611685615032912,0.5282,0.0,0.6667,0.7451,0.5263,0.1,0.0,0.8413,0.8462,0.5
84,0.012601752011105418,0.5544,0.0,0.6087,0.8333,0.4242,0.2963,0.0,0.8226,0.835,0.6154
85,0.012071243282407522,0.5447,0.0,0.6667,0.72,0.5143,0.2222,0.0,0.8226,0.7961,0.6154
86,0.012800602354109286,0.5192,0.0,0.6667,0.7451,0.3077,0.25,0.0,0.8682,0.7447,0.5714
87,0.01163598194718361,0.5687,0.0,0.6667,0.76,0.4118,0.3125,0.0,0.8594,0.7391,0.8
88,0.011011623088270426,0.5605,0.0,0.6667,0.8077,0.4615,0.32,0.0,0.8413,0.8155,0.5714
89,0.009841098487377166,0.55,0.0,0.6667,0.72,0.4737,0.3478,0.0,0.832,0.7447,0.6154
90,0.009243675721809268,0.5606,0.0,0.64,0.7925,0.4865,0.2727,0.0,0.8504,0.7158,0.7273
91,0.00928779261186719,0.5606,0.0,0.6957,0.8163,0.3226,0.2609,0.0,0.8504,0.8119,0.7273
92,0.00924154968932271,0.5645,0.0,0.64,0.8163,0.5,0.2609,0.0,0.832,0.8,0.6667
93,0.010395045913755894,0.5572,0.0,0.6667,0.7556,0.4848,0.24,0.0,0.864,0.78,0.6667
94,0.009378484329208731,0.5608,0.0,0.6667,0.8333,0.4444,0.1739,0.0,0.8293,0.8113,0.7273
95,0.01124869890511036,0.5676,0.0,0.64,0.8,0.3571,0.2609,0.0,0.8413,0.8411,0.8
96,0.010559970270842314,0.5676,0.0,0.6667,0.8163,0.5263,0.2727,0.0,0.8571,0.8302,0.5714
97,0.011157643608748912,0.5506,0.0,0.6667,0.7755,0.4444,0.2222,0.0,0.8504,0.8302,0.6154
98,0.011206652764230966,0.5526,0.0,0.64,0.7917,0.5128,0.2727,0.0,0.8571,0.7312,0.6154
99,0.011926064509898424,0.5677,0.0,0.6667,0.8163,0.5128,0.3333,0.0,0.8413,0.8,0.5714
100,0.010268381079658866,0.5768,0.0,0.6957,0.7917,0.4242,0.32,0.0,0.848,0.8077,0.7273
