epoch,train_loss,macro_f1,f1_Fluid,f1_Geographicatrophy,f1_PRlayerdisruption,f1_SoftdrusenPED,f1_Reticulardrusen,f1_Hyperfluorescentspots,f1_Softdrusen,f1_Harddrusen,f1_Choroidalfolds
1,0.11286419302225113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.09574835240840912,0.2457,0.0,0.0,0.5556,0.0,0.0,0.0,0.8103,0.0,0.6
3,0.08491703703999519,0.3322,0.0,0.4444,0.7727,0.0833,0.0,0.0,0.7857,0.0,0.5714
4,0.0779376794397831,0.3936,0.0,0.4348,0.7347,0.3784,0.0,0.0,0.8361,0.1935,0.5714
5,0.07376695230603218,0.4801,0.0,0.5,0.7273,0.4348,0.0,0.0,0.8571,0.75,0.5714
6,0.06985507905483246,0.4928,0.0,0.5455,0.7234,0.4762,0.0,0.0,0.871,0.5263,0.8
7,0.06655230611562729,0.5066,0.0,0.6,0.7755,0.3889,0.0,0.0,0.873,0.5263,0.8889
8,0.06334881603717804,0.5224,0.0,0.6429,0.7234,0.4651,0.0,0.0,0.8819,0.4658,1.0
9,0.06126157969236374,0.4745,0.0,0.6087,0.7391,0.4571,0.0,0.0,0.8618,0.6588,0.4706
10,0.05881346315145493,0.5267,0.0,0.6667,0.6818,0.4681,0.1176,0.0,0.8136,0.4658,1.0
11,0.06087960690259933,0.5057,0.0,0.6923,0.7143,0.4889,0.1176,0.0,0.843,0.7191,0.4706
12,0.05527195230126381,0.4952,0.0,0.6923,0.7391,0.5,0.1053,0.0,0.7719,0.6824,0.4706
13,0.05503790184855461,0.5275,0.0,0.6923,0.7234,0.4375,0.2105,0.0,0.843,0.6977,0.6154
14,0.05280679166316986,0.5067,0.0,0.6364,0.7391,0.3889,0.1,0.0,0.873,0.7826,0.5333
15,0.05021848753094673,0.5189,0.0,0.6087,0.7391,0.3784,0.1,0.0,0.8455,0.8125,0.6667
16,0.04810349747538566,0.5755,0.0,0.5833,0.7347,0.5098,0.3684,0.0,0.7826,0.8247,0.8
17,0.04921315923333168,0.5403,0.0,0.5833,0.7273,0.4889,0.4167,0.0,0.8661,0.7957,0.4444
18,0.04644757270812988,0.5396,0.0,0.64,0.7234,0.3226,0.3333,0.0,0.8333,0.8485,0.6154
19,0.04354301266372204,0.5776,0.0,0.64,0.7442,0.4,0.2857,0.0,0.8136,0.8485,0.8889
20,0.04580881580710411,0.5698,0.0,0.5833,0.7273,0.5366,0.2727,0.1053,0.7931,0.8125,0.7273
21,0.04289302743971348,0.5508,0.0,0.64,0.7727,0.4444,0.2857,0.0,0.848,0.8,0.6154
22,0.04057475373148918,0.5699,0.0,0.64,0.75,0.4906,0.4615,0.0,0.8837,0.8,0.5333
23,0.04165358051657677,0.539,0.0,0.64,0.7234,0.4483,0.3871,0.0,0.8293,0.8627,0.4211
24,0.0390626560151577,0.5407,0.0,0.64,0.7083,0.4762,0.3077,0.0,0.8769,0.8163,0.5
25,0.03685622379183769,0.5838,0.0,0.6957,0.7273,0.5,0.4324,0.0,0.8235,0.8247,0.6667
