train_loss,val_loss,val_acc,val_f1
0.6450101849105623,0.8683043800040402,0.7242857142857143,0.7192727133444347
0.3839703837875277,0.37409759150231864,0.8621428571428571,0.8636735018233407
0.3278011258225888,0.8058993779122829,0.7207142857142858,0.718791685757257
0.2804092882433906,0.45244972523963417,0.8635714285714285,0.8661247503159267
0.25003811724794406,0.46771016432401,0.8364285714285714,0.8400328405950184
0.2483303574586494,0.21781316566883066,0.9192857142857143,0.9198212264547803
0.2190866787180615,0.26200076059335103,0.915,0.9159047943990154
0.21684985713283014,0.18369738323367943,0.9257142857142857,0.926026167717495
0.20064620090933102,0.2947528916660774,0.905,0.90478650761376
0.18221116166548906,0.1637633351079502,0.9435714285714286,0.9440294182091031
0.17625467158440086,0.14614932787226695,0.9471428571428572,0.947299610263584
0.1579076448106207,0.18266978385723964,0.9378571428571428,0.9382761502980475
0.16425475170318452,0.34142638043373486,0.8764285714285714,0.8775661791520242
0.1493611086366905,0.20505410065249743,0.9221428571428572,0.923486296513241
0.14853591879040728,0.5082620050401694,0.8421428571428572,0.8356470405980565
0.14265392164492774,0.23412912989726403,0.9271428571428572,0.9270041870960033
0.1394586730586727,0.1868437036628889,0.9364285714285714,0.9374197107558032
0.1343243522892913,0.11315354014287106,0.9535714285714286,0.953730761661917
0.1424397171358578,0.1622872663788133,0.9464285714285714,0.9471004391137795
0.12966428209458375,0.17297005997386397,0.9478571428571428,0.9484597779056906
0.12506674600687498,0.16508877551941417,0.9442857142857143,0.9444625816473979
0.1282554130690793,0.20177036358907943,0.9428571428571428,0.9428164659190549
0.11811032491904269,0.14670843179019047,0.9428571428571428,0.9433448640717835
0.12005182755011548,0.23724279269475132,0.9314285714285714,0.9320707367007072
0.11444283033779357,0.12133107834634416,0.9528571428571428,0.9531930290364321
0.11101759898075317,0.15036090348307465,0.9457142857142857,0.946318802809675
0.11710734239992841,0.12369048180189375,0.9542857142857143,0.9542422261140118
0.11457765618817778,0.2618414905785109,0.9171428571428571,0.9163561931498596
0.11767314958302046,0.11505178918385899,0.9542857142857143,0.9542868312129139
0.10506483339930936,0.21477729310691848,0.9407142857142857,0.9403244048299763
