epoch,train_loss,macro_f1,f1_Fluid,f1_Geographicatrophy,f1_PRlayerdisruption,f1_SoftdrusenPED,f1_Reticulardrusen,f1_Hyperfluorescentspots,f1_Softdrusen,f1_Harddrusen,f1_Choroidalfolds
16,0.02611275140762977,0.4819,0.2105,0.5217,0.75,0.4615,0.3462,0.0,0.8992,0.7033,0.4444
17,0.026047644600191194,0.5059,0.1818,0.5263,0.7755,0.6122,0.3243,0.0,0.8136,0.7312,0.5882
18,0.025252225090061194,0.5063,0.2105,0.5714,0.76,0.4706,0.3158,0.0,0.88,0.7333,0.6154
19,0.023538156615003296,0.4929,0.2105,0.4444,0.8,0.5833,0.2857,0.0,0.873,0.7391,0.5
20,0.0249674451213492,0.534,0.2857,0.4762,0.8,0.5,0.3158,0.3636,0.8103,0.7209,0.5333
21,0.022488374495878816,0.5108,0.25,0.5263,0.7843,0.5778,0.3,0.0,0.8333,0.7368,0.5882
22,0.02195952875215722,0.5403,0.2857,0.5263,0.7778,0.5,0.3158,0.2667,0.88,0.7391,0.5714
23,0.022492265683072415,0.5383,0.2667,0.5,0.7843,0.4878,0.3125,0.3333,0.871,0.7333,0.5556
24,0.021906839754513425,0.5191,0.3077,0.5263,0.8,0.4706,0.359,0.0,0.864,0.7447,0.6
25,0.020481091144535203,0.5715,0.5,0.5556,0.7925,0.5128,0.3684,0.3636,0.8548,0.65,0.5455
26,0.01916042387323535,0.4985,0.3333,0.5263,0.8,0.4737,0.381,0.0,0.8136,0.6582,0.5
27,0.021408455208470317,0.5463,0.2667,0.5263,0.8,0.4444,0.3448,0.3333,0.873,0.7033,0.625
28,0.020549008698688576,0.5028,0.25,0.5263,0.7778,0.4828,0.4,0.0,0.8264,0.7619,0.5
29,0.019673478060766407,0.5594,0.2353,0.375,0.8,0.5333,0.2963,0.5714,0.8293,0.7273,0.6667
30,0.019007295871193965,0.5454,0.5,0.4545,0.8,0.3404,0.3077,0.4,0.873,0.6173,0.6154
31,0.017846102401128282,0.5466,0.4444,0.4706,0.8,0.4762,0.3243,0.2857,0.843,0.6506,0.625
32,0.01854726394800388,0.5238,0.2857,0.5,0.8214,0.55,0.375,0.0,0.8618,0.7045,0.6154
33,0.01761615253559759,0.5218,0.3333,0.4211,0.8462,0.4444,0.3704,0.0,0.8571,0.8085,0.6154
34,0.01643511913109409,0.5358,0.4,0.375,0.8163,0.5,0.3125,0.3333,0.8618,0.7475,0.4762
35,0.01674936532356736,0.4969,0.25,0.4706,0.7692,0.5,0.3448,0.0,0.8387,0.6829,0.6154
36,0.016946223007677043,0.5529,0.2105,0.4348,0.8148,0.5556,0.2941,0.4,0.8548,0.7447,0.6667
37,0.01623469889771355,0.4778,0.1667,0.375,0.8,0.4444,0.3636,0.0,0.8333,0.7174,0.6
38,0.015568337742360714,0.4906,0.25,0.4211,0.8077,0.45,0.2941,0.0,0.873,0.7742,0.5455
39,0.01654976755178169,0.5238,0.25,0.5714,0.8235,0.4848,0.4545,0.0,0.8548,0.7416,0.5333
40,0.015745419659651816,0.5359,0.5,0.4706,0.8148,0.3077,0.2703,0.2222,0.8264,0.7447,0.6667
41,0.01428044566621437,0.5453,0.3636,0.4706,0.8302,0.4706,0.32,0.25,0.873,0.7579,0.5714
42,0.014944048532608735,0.5106,0.2667,0.4706,0.8519,0.3902,0.375,0.0,0.8361,0.6905,0.7143
43,0.013750443685516391,0.5281,0.25,0.5556,0.8364,0.4375,0.3636,0.0,0.8906,0.7527,0.6667
44,0.013531214228588278,0.4975,0.25,0.5,0.8235,0.3922,0.4,0.0,0.8525,0.6341,0.625
45,0.013319014232484218,0.4683,0.2222,0.4706,0.8136,0.4211,0.2667,0.0,0.8333,0.6875,0.5
46,0.01331453148589429,0.5316,0.1667,0.4,0.8421,0.3636,0.3333,0.5,0.8455,0.7619,0.5714
47,0.013427781900289752,0.5347,0.2667,0.4286,0.8727,0.3871,0.4348,0.4,0.873,0.7045,0.4444
48,0.012924172910456748,0.5745,0.3636,0.5333,0.8235,0.4,0.3704,0.4444,0.8548,0.78,0.6
49,0.013301865716525555,0.5335,0.4,0.5556,0.8364,0.4,0.4,0.2222,0.8361,0.6517,0.5
50,0.012401932177295827,0.5046,0.3636,0.4444,0.8077,0.4,0.3333,0.0,0.8819,0.7391,0.5714
51,0.01305186365093307,0.5118,0.5,0.375,0.8148,0.375,0.3636,0.0,0.864,0.7423,0.5714
52,0.012577074266079328,0.5645,0.3636,0.3529,0.8364,0.4324,0.3333,0.5714,0.8361,0.7826,0.5714
53,0.012281013131344123,0.5606,0.5,0.4211,0.8077,0.4,0.4,0.4,0.875,0.6966,0.5455
54,0.01180102696146249,0.5308,0.4444,0.5,0.8571,0.4118,0.375,0.0,0.864,0.7789,0.5455
55,0.012644394472970263,0.5478,0.2353,0.3529,0.8727,0.3529,0.4138,0.4,0.8361,0.8,0.6667
56,0.011737928158887054,0.5379,0.25,0.4444,0.8679,0.3636,0.3333,0.4,0.864,0.7292,0.5882
57,0.01310168144941006,0.4903,0.2857,0.4615,0.8421,0.3846,0.32,0.0,0.8525,0.641,0.625
58,0.011003389210521203,0.5147,0.25,0.4706,0.8276,0.4667,0.4138,0.0,0.8906,0.6882,0.625
59,0.010519203421173861,0.5617,0.4444,0.3529,0.8571,0.3784,0.4706,0.4444,0.8819,0.6374,0.5882
60,0.01094173998116394,0.5725,0.2857,0.5,0.8462,0.359,0.4,0.4,0.8992,0.7959,0.6667
61,0.012482473125640789,0.5308,0.4444,0.4,0.8627,0.4516,0.4348,0.0,0.873,0.6957,0.6154
62,0.011099945384320681,0.5547,0.3333,0.4286,0.8727,0.3846,0.3448,0.4444,0.864,0.6947,0.625
63,0.010965270245872924,0.5683,0.2857,0.4348,0.8364,0.4,0.3871,0.5714,0.8525,0.7216,0.625
64,0.010050190536750724,0.509,0.2857,0.5333,0.8571,0.3846,0.4,0.0,0.8264,0.7059,0.5882
65,0.010787576563534853,0.5467,0.1538,0.4545,0.8364,0.3529,0.4615,0.4,0.8819,0.7126,0.6667
66,0.009692614036359137,0.5522,0.3333,0.375,0.8364,0.3846,0.4,0.4444,0.8548,0.7158,0.625
67,0.010099892719628533,0.4858,0.3636,0.381,0.8421,0.4151,0.3448,0.0,0.8819,0.6437,0.5
68,0.009836272503573286,0.543,0.4,0.4762,0.7917,0.3243,0.5,0.25,0.8455,0.6747,0.625
69,0.009655471258472813,0.558,0.4444,0.3529,0.8421,0.4,0.3571,0.4,0.8264,0.7835,0.6154
70,0.01025897105548369,0.5211,0.3077,0.4706,0.8727,0.3871,0.4,0.0,0.7966,0.6863,0.7692
71,0.009532505297102034,0.591,0.25,0.4211,0.8846,0.4828,0.4348,0.6667,0.873,0.7347,0.5714
72,0.011766813434761665,0.539,0.4444,0.5263,0.8679,0.4706,0.3448,0.0,0.864,0.7083,0.625
73,0.009267404751406739,0.5469,0.4444,0.4444,0.8727,0.4,0.3871,0.0,0.8992,0.76,0.7143
74,0.010359065999459151,0.5242,0.2857,0.5556,0.8727,0.4324,0.3077,0.0,0.8103,0.7391,0.7143
75,0.009104563249781242,0.5562,0.2,0.5263,0.8302,0.375,0.3333,0.5,0.8525,0.7216,0.6667
76,0.007505866886197548,0.562,0.2857,0.4706,0.8364,0.4138,0.4706,0.3333,0.8992,0.7234,0.625
77,0.008465260808842013,0.599,0.4444,0.5263,0.8727,0.4242,0.5263,0.4,0.8361,0.7451,0.6154
78,0.008088743465993068,0.5168,0.25,0.5556,0.8571,0.375,0.3846,0.0,0.8992,0.7143,0.6154
79,0.008123955583078381,0.573,0.4444,0.4286,0.8421,0.3529,0.4762,0.5,0.864,0.7158,0.5333
80,0.008323733993482007,0.5312,0.4,0.5263,0.8421,0.4,0.4211,0.0,0.8992,0.6667,0.625
81,0.008786903706925881,0.4873,0.1818,0.4706,0.8475,0.3448,0.3529,0.0,0.864,0.7238,0.6
82,0.007828267975760948,0.531,0.4,0.4706,0.8727,0.3333,0.375,0.0,0.873,0.7879,0.6667
83,0.010930820403661093,0.5281,0.3333,0.4706,0.8727,0.4242,0.303,0.4,0.8235,0.7921,0.3333
84,0.009090664361239127,0.5091,0.2857,0.4706,0.8364,0.3871,0.4,0.0,0.8618,0.74,0.6
85,0.007595086580334717,0.5062,0.2,0.4706,0.8214,0.3529,0.3571,0.0,0.8923,0.7473,0.7143
86,0.007661575092756918,0.5155,0.2222,0.5,0.8421,0.3529,0.4,0.0,0.8837,0.7111,0.7273
87,0.0076929603250312575,0.5026,0.2222,0.4706,0.8571,0.4,0.3333,0.0,0.7931,0.78,0.6667
88,0.007573087342873054,0.5088,0.2857,0.5263,0.8571,0.3529,0.3226,0.0,0.871,0.6966,0.6667
89,0.008926809519914019,0.5353,0.2,0.5556,0.8214,0.3636,0.48,0.2,0.873,0.7527,0.5714
90,0.00804323926517416,0.5162,0.1667,0.4444,0.8772,0.4,0.5,0.0,0.8906,0.7,0.6667
91,0.008966492763568607,0.5888,0.1818,0.5,0.8571,0.4118,0.5,0.6667,0.9008,0.7097,0.5714
92,0.007130449180967053,0.5275,0.2857,0.4286,0.8571,0.3871,0.3846,0.3333,0.864,0.7071,0.5
93,0.007224526371472799,0.5109,0.0,0.375,0.8276,0.3571,0.48,0.4,0.88,0.7071,0.5714
94,0.009229931247714178,0.5367,0.2,0.4444,0.8571,0.4,0.4138,0.4,0.864,0.7174,0.5333
95,0.00869946832561096,0.5208,0.3077,0.5333,0.8571,0.3871,0.5,0.0,0.8819,0.6047,0.6154
96,0.006977679096567242,0.581,0.4,0.4444,0.8364,0.3871,0.48,0.4,0.9077,0.7579,0.6154
97,0.007717333825143135,0.5435,0.1818,0.5,0.8421,0.4,0.4138,0.2857,0.8819,0.7191,0.6667
98,0.007595662556527911,0.552,0.2857,0.4286,0.8276,0.4,0.3846,0.4,0.873,0.7021,0.6667
99,0.006350233115802478,0.5048,0.2857,0.4286,0.8333,0.4242,0.4706,0.0,0.8548,0.7126,0.5333
100,0.007513843556491496,0.593,0.3636,0.4286,0.8727,0.3846,0.5882,0.4,0.864,0.7209,0.7143
