epoch,train_loss,macro_f1,f1_Fluid,f1_Geographicatrophy,f1_PRlayerdisruption,f1_SoftdrusenPED,f1_Reticulardrusen,f1_Hyperfluorescentspots,f1_Softdrusen,f1_Harddrusen,f1_Choroidalfolds
1,0.05815996000867175,0.3952,0.0,0.5,0.7826,0.24,0.0,0.0,0.8976,0.5647,0.5714
2,0.04790397852902179,0.3822,0.0,0.4706,0.766,0.5128,0.0,0.0,0.8871,0.507,0.2963
3,0.04450491599171706,0.4415,0.0952,0.5217,0.7234,0.4516,0.2667,0.0,0.878,0.7033,0.3333
4,0.04028117498787849,0.4818,0.1667,0.5455,0.76,0.56,0.2963,0.0,0.878,0.7961,0.3333
5,0.03854543802773823,0.4711,0.1429,0.48,0.84,0.4615,0.2449,0.0,0.8305,0.8119,0.4286
6,0.036042915151009096,0.4549,0.1739,0.4286,0.8163,0.5128,0.3,0.0,0.8595,0.7174,0.2857
7,0.03542815679279358,0.4754,0.1481,0.4545,0.8,0.5366,0.2778,0.0,0.896,0.7209,0.4444
8,0.033625363119189504,0.5085,0.1818,0.5455,0.8077,0.5333,0.3043,0.0,0.8906,0.6977,0.6154
9,0.03228463953279931,0.451,0.1905,0.4762,0.7917,0.5,0.2917,0.0,0.871,0.5634,0.375
10,0.03155132548114204,0.4974,0.1481,0.5455,0.7692,0.5641,0.3226,0.0,0.876,0.7174,0.5333
11,0.03450636115208592,0.4895,0.125,0.6,0.766,0.5357,0.3256,0.0,0.8618,0.6914,0.5
12,0.030702350408081776,0.4867,0.1538,0.5217,0.8,0.5,0.3158,0.0,0.8618,0.6818,0.5455
13,0.02859778981655836,0.5036,0.1538,0.5455,0.7843,0.5455,0.3111,0.0,0.8889,0.7579,0.5455
14,0.02775602619690092,0.4936,0.2353,0.6,0.7692,0.5,0.3,0.0,0.8819,0.7111,0.4444
15,0.027238946347294943,0.4783,0.1739,0.6,0.7843,0.4324,0.2609,0.0,0.8976,0.7273,0.4286
