train_loss,val_loss,train_loss_c,train_loss_s,train_loss_cl,val_loss_c,val_loss_s,val_loss_cl,I2T_R@1,I2T_R@5,I2T_R@10,T2I_R@1,T2I_R@5,T2I_R@10,cls_acc,sev_mae,logit_scale,lr
0.881457733809948,0.7957768232323402,0.4434198696166277,0.10505168717354536,1.355074462890625,0.3687232025834017,0.09283443141815274,1.3306775938632875,48.83381924198251,84.8396501457726,93.4402332361516,37.46355685131196,80.75801749271137,89.067055393586,35.568514466285706,27.18368148803711,2.6586034297943115,3.9999999999999993e-07
0.7442705865204334,0.7138639487499414,0.34428176291286944,0.06835370101965964,1.2649423217773437,0.3391710748506147,0.04941823038943978,1.199557991914971,67.20116618075802,91.69096209912536,95.77259475218659,57.5801749271137,81.34110787172011,88.33819241982508,57.14285969734192,20.13336753845215,2.661787986755371,6.999999999999999e-07
0.642000602632761,0.6177017078843228,0.30774702861905096,0.043216320159845056,1.0709622192382813,0.3297477574195973,0.03912923868399027,0.9207172248252603,71.57434402332362,93.87755102040816,97.08454810495627,62.39067055393586,87.17201166180757,92.71137026239067,76.38484239578247,17.500167846679688,2.6669678688049316,1e-06
0.48001817159354687,0.4781685703715613,0.26591592717915774,0.037032389545347544,0.6766417312622071,0.31058761130931767,0.03235365002047877,0.5262495234262111,75.21865889212827,95.33527696793003,98.10495626822157,63.84839650145773,88.77551020408163,93.29446064139941,83.38192701339722,15.700989723205566,2.676419973373413,9.969572609838744e-07
0.35286068834364415,0.4222904471463935,0.21938036400824784,0.032235934326890855,0.41269846439361574,0.29839004888090975,0.02851418078725421,0.3844871371984482,74.78134110787173,95.91836734693878,98.54227405247813,69.09620991253644,87.90087463556851,92.56559766763849,86.73469424247742,14.106590270996094,2.690894842147827,9.87870191760921e-07
0.2793197636306286,0.41286494392295214,0.18100742554292082,0.029662263611098753,0.2980455160140991,0.31050815589206165,0.02629021739825433,0.3148990526448849,75.65597667638484,97.8134110787172,98.9795918367347,71.13702623906705,89.067055393586,93.29446064139941,88.62974047660828,13.52865219116211,2.710165023803711,9.728616793536592e-07
0.22828202940523623,0.3945707256017729,0.1546355383656919,0.027843821921851485,0.21764447212219237,0.3086336967210437,0.024594436854470606,0.26186231125232784,76.53061224489795,97.52186588921283,98.9795918367347,69.24198250728863,89.067055393586,94.46064139941691,89.94169235229492,12.6236572265625,2.731316566467285,9.521346881455359e-07
0.1869997756369412,0.37206054565518404,0.1306519774161279,0.02650659351085778,0.16131939589977265,0.30349856372489487,0.023567038501591184,0.2049728936927263,78.42565597667638,98.25072886297376,98.83381924198251,72.74052478134111,89.79591836734694,93.58600583090379,92.12828278541565,12.238232612609863,2.7528793811798096,9.259695151358218e-07
0.15613605020567775,0.38040322897046114,0.11318629581481218,0.025247397248749623,0.11791844666004181,0.32166919164186303,0.022968353346250085,0.17281176782278126,80.17492711370262,98.9795918367347,99.85422740524781,72.59475218658892,88.19241982507289,92.27405247813411,93.14869046211243,12.278724670410156,2.7743937969207764,8.947199994035404e-07
0.13109681386500596,0.39946150051992996,0.09850151003338396,0.02404021634545643,0.08461079061031342,0.3420591953881951,0.02224626620624994,0.16909474918488845,79.30029154518951,98.39650145772595,99.27113702623906,72.15743440233236,89.067055393586,92.85714285714286,94.60641145706177,11.55322551727295,2.7959978580474854,8.588087370409304e-07
